rel_path,nbchan,orig_pnts,window_sec,overlap_pct,n_epochs,status
Apple\A1\Apple_A1_sub15_A1_RAW14_ICAclean_filtered.set,14,7168,1,50,36,success
Apple\A1\Apple_A1_sub20_A1_RAW14_ICAclean_filtered.set,14,7680,1,50,1,success
Apple\A1\Apple_A1_sub29_A1_RAW14_ICAclean_filtered.set,14,7808,1,50,57,success
Apple\A1\Apple_A1_sub32_A1_RAW14_ICAclean_filtered.set,14,7680,1,50,19,success
Apple\A1\Apple_A1_sub3_A1_RAW14_ICAclean_filtered.set,14,7424,1,50,95,success
Apple\A1\Apple_A1_sub6_A1_RAW14_ICAclean_filtered.set,14,7552,1,50,79,success
Apple\A1\Apple_A1_sub8_A1_RAW14_ICAclean_filtered.set,14,7552,1,50,11,success
Apple\A2\Apple_A2_sub10_A2_RAW14_ICAclean_filtered.set,14,7040,1,50,86,success
Apple\A2\Apple_A2_sub12_A2_RAW14_ICAclean_filtered.set,14,7808,1,50,108,success
Apple\A2\Apple_A2_sub23_A2_RAW14_ICAclean_filtered.set,-,-,1,50,-,error: Error: dataset Apple_A2_sub23_A2_RAW14_ICAclean_filtered.set is empty
Apple\A2\Apple_A2_sub25_A2_RAW14_ICAclean_filtered.set,-,-,1,50,-,error: Error: dataset Apple_A2_sub25_A2_RAW14_ICAclean_filtered.set is empty
Apple\A2\Apple_A2_sub30_A2_RAW14_ICAclean_filtered.set,14,7552,1,50,40,success
Apple\A2\Apple_A2_sub5_A2_RAW14_ICAclean_filtered.set,14,7296,1,50,81,success
Apple\A2\Apple_A2_sub9_A2_RAW14_ICAclean_filtered.set,14,7296,1,50,33,success
Car\C1\Car_C1_sub11_C1_RAW14_ICAclean_filtered.set,14,7552,1,50,96,success
Car\C1\Car_C1_sub16_C1_RAW14_ICAclean_filtered.set,14,7168,1,50,12,success
Car\C1\Car_C1_sub22_C1_RAW14_ICAclean_filtered.set,14,7296,1,50,81,success
Car\C1\Car_C1_sub27_C1_RAW14_ICAclean_filtered.set,-,-,1,50,-,error: Error: dataset Car_C1_sub27_C1_RAW14_ICAclean_filtered.set is empty
Car\C1\Car_C1_sub28_C1_RAW14_ICAclean_filtered.set,14,7168,1,50,29,success
Car\C1\Car_C1_sub2_C1_RAW14_ICAclean_filtered.set,14,8064,1,50,64,success
Car\C1\Car_C1_sub4_C1_RAW14_ICAclean_filtered.set,14,7168,1,50,89,success
Car\C1\Car_C1_sub6_C1_RAW14_ICAclean_filtered.set,14,7552,1,50,40,success
Car\C2\Car_C2_sub10_C2_RAW14_ICAclean_filtered.set,14,7552,1,50,104,success
Car\C2\Car_C2_sub12_C2_RAW14_ICAclean_filtered.set,14,7808,1,50,104,success
Car\C2\Car_C2_sub13_C2_RAW14_ICAclean_filtered.set,14,7424,1,50,56,success
Car\C2\Car_C2_sub18_C2_RAW14_ICAclean_filtered.set,14,7168,1,50,43,success
Car\C2\Car_C2_sub19_C2_RAW14_ICAclean_filtered.set,14,7424,1,50,34,success
Car\C2\Car_C2_sub21_C2_RAW14_ICAclean_filtered.set,14,7680,1,50,60,success
Car\C2\Car_C2_sub24_C2_RAW14_ICAclean_filtered.set,14,7680,1,50,16,success
Car\C2\Car_C2_sub8_C2_RAW14_ICAclean_filtered.set,14,7552,1,50,44,success
Flower\F1\Flower_F1_sub14_F1_RAW14_ICAclean_filtered.set,14,7552,1,50,97,success
Flower\F1\Flower_F1_sub16_F1_RAW14_ICAclean_filtered.set,14,7296,1,50,68,success
